Församlings-kod;Kommun;Församling;Summa, inkl. kyrkoavgift;Summa, exkl. kyrkoavgift;Kommunal-skatt;Landstings-skatt;Begravnings-avgift;Kyrkoavgift
01 80  15;STOCKHOLM;KATARINA;30.87;30.055;17.90;12.08;0.075;0.815
01 80  17;STOCKHOLM;SOFIA;30.88;30.055;17.90;12.08;0.075;0.825
01 80  19;STOCKHOLM;VÄSTERMALM;30.75;30.055;17.90;12.08;0.075;0.695
01 80  21;STOCKHOLM;BRÄNNKYRKA;30.81;30.055;17.90;12.08;0.075;0.755
01 80  23;STOCKHOLM;VANTÖR;30.80;30.055;17.90;12.08;0.075;0.745
01 80  25;STOCKHOLM;FARSTA;30.92;30.055;17.90;12.08;0.075;0.865
01 80  27;STOCKHOLM;BROMMA;30.69;30.055;17.90;12.08;0.075;0.635
01 80  29;STOCKHOLM;VÄSTERLED;30.76;30.055;17.90;12.08;0.075;0.705
01 80  31;STOCKHOLM;VÄLLINGBY;30.78;30.055;17.90;12.08;0.075;0.725
01 80  34;STOCKHOLM;ENSKEDE-ÅRSTA;30.85;30.055;17.90;12.08;0.075;0.795
01 80  36;STOCKHOLM;SKARPNÄCK;30.84;30.055;17.90;12.08;0.075;0.785
01 80  38;STOCKHOLM;HÄSSELBY;30.74;30.055;17.90;12.08;0.075;0.685
01 80  39;STOCKHOLM;HÄGERSTEN;30.715;30.055;17.90;12.08;0.075;0.66
01 80  40;STOCKHOLM;SKÄRHOLMEN;30.95;30.055;17.90;12.08;0.075;0.895
01 80  41;STOCKHOLM;SPÅNGA-KISTA;30.78;30.055;17.90;12.08;0.075;0.725
01 81  01;SÖDERTÄLJE;SÖDERTÄLJE;33.37;32.48;20.15;12.08;0.25;0.89
01 81  02;SÖDERTÄLJE;ÖSTERTÄLJE;33.37;32.48;20.15;12.08;0.25;0.89
01 81  04;SÖDERTÄLJE;ENHÖRNA;33.47;32.36;20.15;12.08;0.13;1.11
01 81  06;SÖDERTÄLJE;VÅRDINGE;33.55;32.48;20.15;12.08;0.25;1.07
01 81  07;SÖDERTÄLJE;ÖVERJÄRNA;33.55;32.48;20.15;12.08;0.25;1.07
01 81  08;SÖDERTÄLJE;YTTERJÄRNA;33.55;32.48;20.15;12.08;0.25;1.07
01 81  10;SÖDERTÄLJE;HÖLÖ-MÖRKÖ;33.58;32.47;20.15;12.08;0.24;1.11
01 82  01;NACKA;NACKA;31.565;30.87;18.63;12.08;0.16;0.695
01 82  02;NACKA;SALTSJÖBADEN;31.765;30.89;18.63;12.08;0.18;0.875
01 82  03;NACKA;BOO;31.645;30.86;18.63;12.08;0.15;0.785
01 83  01;SUNDBYBERG;SUNDBYBERG;31.83;31.11;18.90;12.08;0.13;0.72
01 84  01;SOLNA;SOLNA;29.965;29.28;17.12;12.08;0.08;0.685
01 86  01;LIDINGÖ;LIDINGÖ;31.485;30.82;18.64;12.08;0.10;0.665
01 87  01;VAXHOLM;VAXHOLM;32.815;31.97;19.78;12.08;0.11;0.845
01 88  01;NORRTÄLJE;NORRTÄLJE-MALSTA;32.775;31.985;19.72;12.08;0.185;0.79
01 88  03;NORRTÄLJE;VÄDDÖ OCH BJÖRKÖ-ARHOLMA;33.34;32.02;19.72;12.08;0.22;1.32
01 88  05;NORRTÄLJE;HÄVERÖ-EDEBO-SINGÖ;33.402;32.12;19.72;12.08;0.32;1.282
01 88  08;NORRTÄLJE;EDSBRO-UNUNGE;33.39;32.23;19.72;12.08;0.43;1.16
01 88  09;NORRTÄLJE;FASTERNA;32.94;32.08;19.72;12.08;0.28;0.86
01 88  10;NORRTÄLJE;RIMBO;32.94;32.08;19.72;12.08;0.28;0.86
01 88  12;NORRTÄLJE;HUSBY, SKEDERID OCH RÖ;32.94;32.08;19.72;12.08;0.28;0.86
01 88  14;NORRTÄLJE;GOTTRÖRA;32.94;32.08;19.72;12.08;0.28;0.86
01 88  15;NORRTÄLJE;NÄRTUNA;32.94;32.08;19.72;12.08;0.28;0.86
01 88  17;NORRTÄLJE;LOHÄRAD;33.39;32.23;19.72;12.08;0.43;1.16
01 88  18;NORRTÄLJE;ESTUNA OCH SÖDERBY-KARL;33.39;32.23;19.72;12.08;0.43;1.16
01 88  20;NORRTÄLJE;ROSLAGSBRO-VÄTÖ;33.43;32.17;19.72;12.08;0.37;1.26
01 88  22;NORRTÄLJE;RÅDMANSÖ;33.36;31.99;19.72;12.08;0.19;1.37
01 88  23;NORRTÄLJE;FRÖTUNA;33.36;31.99;19.72;12.08;0.19;1.37
01 88  24;NORRTÄLJE;BLIDÖ;33.09;32.07;19.72;12.08;0.27;1.02
01 88  25;NORRTÄLJE;LÄNNA;33.09;32.07;19.72;12.08;0.27;1.02
01 88  26;NORRTÄLJE;RIALA;33.09;32.07;19.72;12.08;0.27;1.02
01 91  01;SIGTUNA;SIGTUNA;33.37;32.25;20.00;12.08;0.17;1.12
01 91  06;SIGTUNA;HUSBY-ÄRLINGHUNDRA;33.19;32.26;20.00;12.08;0.18;0.93
01 91  08;SIGTUNA;NORRSUNDA;33.19;32.26;20.00;12.08;0.18;0.93
01 91  09;SIGTUNA;SKEPPTUNA;33.19;32.26;20.00;12.08;0.18;0.93
01 91  12;SIGTUNA;VALSTA;33.19;32.26;20.00;12.08;0.18;0.93
01 92  01;NYNÄSHAMN;NYNÄSHAMN;33.00;32.18;19.85;12.08;0.25;0.82
01 92  02;NYNÄSHAMN;SORUNDA;32.81;32.04;19.85;12.08;0.11;0.77
01 92  04;NYNÄSHAMN;ÖSMO-TORÖ;33.22;32.15;19.85;12.08;0.22;1.07
03 05  01;HÅBO;KALMAR-YTTERGRAN;34.29;33.17;21.34;11.71;0.12;1.12
03 05  03;HÅBO;ÖVERGRAN;34.29;33.17;21.34;11.71;0.12;1.12
03 05  04;HÅBO;HÄGGEBY;34.29;33.17;21.34;11.71;0.12;1.12
03 05  05;HÅBO;SKOKLOSTER;34.29;33.17;21.34;11.71;0.12;1.12
03 19  02;ÄLVKARLEBY;ÄLVKARLEBY-SKUTSKÄR;35.74;34.70;22.69;11.71;0.30;1.04
03 30  01;KNIVSTA;KNIVSTA;33.90;32.87;20.91;11.71;0.25;1.03
03 30  02;KNIVSTA;ÖSTUNA;33.90;32.87;20.91;11.71;0.25;1.03
03 30  03;KNIVSTA;HUSBY-LÅNGHUNDRA;33.90;32.87;20.91;11.71;0.25;1.03
03 30  04;KNIVSTA;LAGGA;33.90;32.87;20.91;11.71;0.25;1.03
03 30  05;KNIVSTA;ALSIKE;33.90;32.87;20.91;11.71;0.25;1.03
03 30  06;KNIVSTA;VASSUNDA;33.90;32.87;20.91;11.71;0.25;1.03
03 31  01;HEBY;VÄSTERLÖVSTA;35.71;34.53;22.50;11.71;0.32;1.18
03 31  02;HEBY;HUDDUNGE;35.71;34.53;22.50;11.71;0.32;1.18
03 31  03;HEBY;ENÅKER;35.71;34.53;22.50;11.71;0.32;1.18
03 31  04;HEBY;VITTINGE;35.77;34.53;22.50;11.71;0.32;1.24
03 31  05;HEBY;NORA;35.84;34.60;22.50;11.71;0.39;1.24
03 31  06;HEBY;ÖSTERVÅLA;35.85;34.61;22.50;11.71;0.40;1.24
03 31  07;HEBY;HARBO;35.85;34.61;22.50;11.71;0.40;1.24
03 60  01;TIERP;TOLFTA;34.47;33.03;20.99;11.71;0.33;1.44
